"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",

"Language"                             ,"original"                                                                                                                            ,"english"                                                                                                                             ,"czech"                                                                                                                                                    ,"german"                                                                                                                                                                                          ,"russian"                                                                                                                                                                                       ,"polish"                                                                                                                                                               ,"hungarian"                                                                                                                                                                 ,"italian"                                                                                                                                                          ,"spanish"                                                                                                                                                                 ,"french"                                                                                                                                                                                                                  ,"chinese"                                                                              ,"japanese"                                                                                                                       ,"portuguese"                                                                                                                                                        ,"chinesesimp"                                                                          ,
"STR_FreezeGem_Base_desc"              ,"Raw gems obtained from mining a gem node. These gems can be cut and polished at a grinding stone to produce more valuable cut gems." ,"Raw gems obtained from mining a gem node. These gems can be cut and polished at a grinding stone to produce more valuable cut gems." ,"Surové drahokamy získané těžbou drahokamového uzlu. Tyto drahokamy mohou být řezány a leštěny na brousku, aby se získaly hodnotnější broušené drahokamy." ,"Rohedelsteine, die aus einem Edelsteinknoten gewonnen werden. Diese Edelsteine können an einem Schleifstein geschnitten und poliert werden, um wertvollere geschliffene Edelsteine zu erhalten." ,"Сырые драгоценные камни, полученные из добычи драгоценного узла. Эти драгоценные камни могут быть огранены и отполированы на шлифовальном камне для получения более ценных ограненных камней." ,"Surowe klejnoty pozyskane z wydobycia węzła klejnotów. Te klejnoty można szlifować i polerować na kamieniu szlifierskim, aby uzyskać cenniejsze szlifowane klejnoty." ,"Nyers drágakövek, amelyeket egy drágakő csomópontból nyertek. Ezeket a drágaköveket csiszolókőn lehet vágni és csiszolni, hogy értékesebb csiszolt drágaköveket kapjanak." ,"Gemme grezze ottenute dall'estrazione di un nodo di gemme. Queste gemme possono essere tagliate e lucidate su una mola per produrre gemme tagliate più preziose." ,"Gemas en bruto obtenidas de la minería de un nodo de gemas. Estas gemas pueden ser cortadas y pulidas en una piedra de moler para producir gemas cortadas más valiosas." ,"Pierres précieuses brutes obtenues de l'extraction d'un nœud de pierres précieuses. Ces pierres peuvent être coupées et polies sur une pierre à aiguiser pour produire des pierres précieuses taillées plus précieuses." ,"从矿石节点获得的原始宝石。这些宝石可以在磨石上切割和抛光，以生产更有价值的切割宝石。" ,"宝石ノードから取得した未加工の宝石。これらの宝石は、研磨用の石で切断および研磨され、より価値のあるカットされた宝石になります。" ,"Gemas brutas obtidas da mineração de um nó de gemas. Essas gemas podem ser cortadas e polidas em uma pedra de amolar para produzir gemas lapidadas mais valiosas." ,"从矿石节点获得的原始宝石。这些宝石可以在磨石上切割和抛光，以生产更有价值的切割宝石。"
"STR_FreezeGem_Cut_desc"               ,"A beautifully cut gem, refined from its raw form at the grinding stone."                                                             ,"A beautifully cut gem, refined from its raw form at the grinding stone."                                                             ,"Krásně vyřezaný drahokam, rafinovaný ze své surové formy na brusném kameni."                                                                              ,"Ein wunderschön geschnittener Edelstein, der aus seiner rohen Form am Schleifstein verfeinert wurde."                                                                                            ,"Прекрасно ограненный камень, очищенный от сырой формы на шлифовальном камне."                                                                                                                  ,"Pięknie oszlifowany kamień, wyrafinowany ze swojej surowej formy na kamieniu szlifierskim."                                                                           ,"Gyönyörűen csiszolt drágakő, amelyet nyers formájából a csiszolókövön finomítottak."                                                                                       ,"Una bellissima gemma, raffinata dalla sua forma grezza sulla mola."                                                                                               ,"Una hermosa gema, refinada de su forma en bruto en la piedra de afilar."                                                                                                 ,"Une magnifique gemme, raffinée à partir de sa forme brute sur la pierre à aiguiser."                                                                                                                                     ,"一颗漂亮的宝石，从其原始形态在磨石上提炼而成。"                                       ,"美しく磨かれた宝石で、磨石で原石の形から洗練されました。"                                                                       ,"Uma linda gema, refinada de sua forma bruta na pedra de amolar."                                                                                                   ,"一颗漂亮的宝石，从其原始形态在磨石上提炼而成。"
"STR_FreezeGem_Jade"                   ,"Raw Jade Gem"                                                                                                                        ,"Raw Jade Gem"                                                                                                                        ,"Surový jadeitový drahokam"                                                                                                                                ,"Roher Jade-Edelstein"                                                                                                                                                                            ,"Необработанный нефритовый драгоценный камень"                                                                                                                                                  ,"Surowy kamień nefrytowy"                                                                                                                                              ,"Nyers jáde drágakő"                                                                                                                                                        ,"Grezzo gemma di giada"                                                                                                                                            ,"Gema de jade en bruto"                                                                                                                                                   ,"Pierre de jade brute"                                                                                                                                                                                                    ,"原始翡翠宝石"                                                                         ,"未加工の翡翠の宝石"                                                                                                             ,"Gema de Jade Bruta"                                                                                                                                                ,"原始翡翠宝石"
"STR_FreezeGem_Jade_Cut"               ,"Cut Jade Gem"                                                                                                                        ,"Cut Jade Gem"                                                                                                                        ,"Řezaný jadeitový drahokam"                                                                                                                                ,"Geschnittener Jade-Edelstein"                                                                                                                                                                    ,"Ограненный нефритовый драгоценный камень"                                                                                                                                                      ,"Rzeźbiony kamień nefrytowy"                                                                                                                                           ,"Vágott jáde drágakő"                                                                                                                                                       ,"Gemma di giada tagliata"                                                                                                                                          ,"Gema de jade cortada"                                                                                                                                                    ,"Pierre de jade taillée"                                                                                                                                                                                                  ,"切割翡翠宝石"                                                                         ,"カット翡翠の宝石"                                                                                                               ,"Gema de Jade Lapidada"                                                                                                                                             ,"切割翡翠宝石"
"STR_FreezeGem_Amethyst"               ,"Raw Amethyst Gem"                                                                                                                    ,"Raw Amethyst Gem"                                                                                                                    ,"Surový ametystový drahokam"                                                                                                                               ,"Rohes Amethyst-Edelstein"                                                                                                                                                                        ,"Сырой аметист"                                                                                                                                                                                 ,"Surowy ametystowy kamień szlachetny"                                                                                                                                  ,"Nyers ametiszt drágakő"                                                                                                                                                    ,"Grezza gemma di ametista"                                                                                                                                         ,"Gema de amatista en bruto"                                                                                                                                               ,"Pierre précieuse en améthyste brute"                                                                                                                                                                                     ,"未加工的紫水晶"                                                                       ,"未加工のアメジスト"                                                                                                             ,"Gema de ametista bruta"                                                                                                                                            ,"未加工的紫水晶"
"STR_FreezeGem_Amethyst_Cut"           ,"Cut Amethyst Gem"                                                                                                                    ,"Cut Amethyst Gem"                                                                                                                    ,"Opracovaný ametystový drahokam"                                                                                                                           ,"Geschliffener Amethyst-Edelstein"                                                                                                                                                                ,"Ограненный аметист"                                                                                                                                                                            ,"Oszlifowany ametystowy kamień szlachetny"                                                                                                                             ,"Csiszolt ametiszt drágakő"                                                                                                                                                 ,"Gemma di ametista tagliata"                                                                                                                                       ,"Gema de amatista cortada"                                                                                                                                                ,"Pierre précieuse en améthyste taillée"                                                                                                                                                                                   ,"切割的紫水晶"                                                                         ,"切り取ったアメジスト"                                                                                                           ,"Gema de ametista cortada"                                                                                                                                          ,"切割的紫水晶"
"STR_FreezeGem_Amber"                  ,"Raw Amber Gem"                                                                                                                       ,"Raw Amber Gem"                                                                                                                       ,"Surowý Jantar"                                                                                                                                            ,"Rohber Bernstein"                                                                                                                                                                                ,"Сырой янтарь"                                                                                                                                                                                  ,"Surowy Bursztyn"                                                                                                                                                      ,"Nyers Borostyán"                                                                                                                                                           ,"Ambra Grezza"                                                                                                                                                     ,"Ámbar en Bruto"                                                                                                                                                          ,"Ambre Brut"                                                                                                                                                                                                              ,"琥珀原石"                                                                             ,"原石"                                                                                                                           ,"Âmbar Bruto"                                                                                                                                                       ,"琥珀原石"
"STR_FreezeGem_Amber_Cut"              ,"Cut Amber Gem"                                                                                                                       ,"Cut Amber Gem"                                                                                                                       ,"Broušený Jantar"                                                                                                                                          ,"Geschnittener Bernstein"                                                                                                                                                                         ,"Огранённый янтарь"                                                                                                                                                                             ,"Cięty Bursztyn"                                                                                                                                                       ,"Vágott Borostyán"                                                                                                                                                          ,"Ambra Tagliata"                                                                                                                                                   ,"Ámbar Tallado"                                                                                                                                                           ,"Ambre Taillé"                                                                                                                                                                                                            ,"切割琥珀"                                                                             ,"カットされた琥珀"                                                                                                               ,"Âmbar Lapidado"                                                                                                                                                    ,"切割琥珀"
"STR_FreezeGem_Aquamarine"             ,"Raw Aquamarine Gem"                                                                                                                  ,"Raw Aquamarine Gem"                                                                                                                  ,"Surový Akvamarín"                                                                                                                                         ,"Rohes Aquamarin"                                                                                                                                                                                 ,"Необработанный аквамарин"                                                                                                                                                                      ,"Surowy Akwamaryn"                                                                                                                                                     ,"Nyers Akvamarin"                                                                                                                                                           ,"Grezzo Acquamarina"                                                                                                                                               ,"Aguamarina en Bruto"                                                                                                                                                     ,"Aigue-marine brute"                                                                                                                                                                                                      ,"天然海蓝宝石"                                                                         ,"原石アクアマリン"                                                                                                               ,"Água-marinha Bruta"                                                                                                                                                ,"天然海蓝宝石"
"STR_FreezeGem_Aquamarine_Cut"         ,"Cut Aquamarine Gem"                                                                                                                  ,"Cut Aquamarine Gem"                                                                                                                  ,"Broušený Akvamarín"                                                                                                                                       ,"Geschliffenes Aquamarin"                                                                                                                                                                         ,"Ограненный аквамарин"                                                                                                                                                                          ,"Szlifowany Akwamaryn"                                                                                                                                                 ,"Csiszolt Akvamarin"                                                                                                                                                        ,"Acquamarina Tagliata"                                                                                                                                             ,"Aguamarina Tallada"                                                                                                                                                      ,"Aigue-marine taillée"                                                                                                                                                                                                    ,"切割海蓝宝石"                                                                         ,"カットされたアクアマリン"                                                                                                       ,"Água-marinha Lapidada"                                                                                                                                             ,"切割海蓝宝石"
